AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
VASCO DE QUIROGA,611,INDUSTRIAL AVIACION,78140.0,SAN LUIS POTOSI,SAN LUIS POTOSI,MEXICO,SAN LUIS POTOSI,San Luis Potosí,San Luis Potosí,San Luis Potosí,Industrial Aviación,Vasco De Quiroga,611,78140.0,,22.17435,-100.99882,1.0,1.0,Vasco de Quiroga,611.0,78140,22.1742937,-100.9986965,San Luis Potosí,Industrial Aviacion 1ra Sección,None,S.L.P.,San Luis Potosí,MX,78140.0,0.0,,EXACT
CARRETERA TRANSPENINSULAR ENSENADA-LA PAZ,KM. 112,CARLOS PACHECO 8,22895.0,ENSENADA,BAJA CALIFORNIA,MEXICO,ENSENADA,Baja California,Ensenada,Ensenada,Carlos Pacheco 8,Carretera Transpeninsular Ensenada-La Paz,Km. 112,22895.0,,31.8137792,-116.5972554,0.5,0.5,Calle Emiliano Zapata,341.0,22895,31.8111351,-116.5928993,Ensenada,Adolfo Ruiz Cortines,None,B.C.,Baja California,MX,22895.0,229.0,,FUZZ
CALLE SIAN KAAN LOTE 2 MANZANA 10 ENTRE CALLE 84 Y 86,LOTE2 MZA10,EJIDAL,77712.0,PLAYA DEL CARMEN,QUINTANA ROO,MEXICO,SOLIDARIDAD,Quintana Roo,Solidaridad,Playa del Carmen,Ejidal,Calle Sian Kaan,Lote 2 Manzana 10,77712.0,Entre Calle 84 y 86 Lote 2 Mza 10,20.6585826,-87.0640836,0.5,0.5,Calle Sian Kaan,5.0,77712,20.6584154,-87.0645141,Playa del Carmen,None,None,Q.R.,Quintana Roo,MX,77712.0,3.0,,EXACT
INDEPENDENCIA,0,SAN JOSE TENERIA (TENERIA),52433.0,SAN JOSE TENERIA,ESTADO DE MEXICO,MEXICO,TENANCINGO,México,Tenancingo,San José Tenería,San José Tenería (Tenería),Independencia,Sin Número,52433.0,,18.9519165,-99.5409261,0.3,0.3,Tenancingo - San Simón El Alto,7.0,52433,18.9595403,-99.5387753,None,None,None,Méx.,Estado de México,MX,52433.0,7.0,,FUZZ
CALLE GLADIOLA 32,0,LA TIJERA,45647.0,TLAJOMULCO DE ZUÑIGA,JALISCO,MEXICO,TLAJOMULCO DE ZUÑIGA,Jalisco,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,La Tijera,Calle Gladiola,32,45647.0,,20.58585,-103.43915,0.95,1.0,Calle Gladiola,26.0,45647,20.5859618,-103.4392598,La Tijera,La Tijera,None,Jal.,Jalisco,MX,45647.0,6.0,,EXACT
AV FRANCISCO I MADERO,811,VILLAHERMOSA CENTRO,86000.0,VILLAHERMOSA,TABASCO,MEXICO,CENTRO,Tabasco,Centro,Villahermosa,Villahermosa Centro,Avenida Francisco I. Madero,811,86000.0,,17.9942202,-92.916559,1.0,1.0,Avenida Francisco I. Madero,804.0,86000,17.9937574,-92.9163851,Villahermosa,Centro,None,Tab.,Tabasco,MX,86000.0,7.0,,EXACT
CAMAXTLI,9,SANTA ISABEL TOLA,7010.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,GUSTAVO A MADERO,Ciudad de México,Gustavo A. Madero,Ciudad de México,Santa Isabel Tola,Camaxli,9,7010.0,,19.4977577,-99.113797,0.3,1.0,CAMAXTLI,9.0,7010,19.5024646056,-99.1154064185,,santa isabel tola,,,,,7010.0,0.0,gustavo a. madero,FUZZ
AV. VALLE DE SAN ISIDRO,"530 INT 21,22,2",LOMAS DE SAN ISIDRO,45130.0,ZAPOPAN,JALISCO,MEXICO,ZAPOPAN,Jalisco,Zapopan,Zapopan,Lomas de Zapopan,Avenida Valle de San Isidro,530,45130.0,"Interior 21, 22, 2",20.7610171,-103.3920744,1.0,1.0,Avenida Valle de San Isidro,440.0,45130,20.7528646,-103.3881816,Zapopan,Villas de Zapopan,None,Jal.,Jalisco,MX,45130.0,90.0,,EXACT
PRIVADA DE AZUCENA,102,LOS PRADOS,91114.0,XALAPA,VERACRUZ,MEXICO,XALAPA,Veracruz de Ignacio de la Llave,Xalapa,Xalapa,Los Prados,Privada de Azucena,102,91114.0,,19.5656611,-96.9101318,0.8,0.8,Calle Paraiso,201.0,91114,19.5630478,-96.9094994,Xalapa-Enríquez,Los Prados,None,Ver.,Veracruz,MX,91114.0,99.0,,FUZZ
"PRIV SAN RAFAEL LOT 34, BODEGA 4",34,PARQUE MOL INDUSTRIAL,88756.0,REYNOSA,TAMAULIPAS,MEXICO,REYNOSA,Tamaulipas,Reynosa,Reynosa,Parque Mol Industrial,Privada San Rafael,Lote 34,88756.0,Bodega 4 34,26.0429463,-98.3114458,0.5,0.5,San Rafael,40.0,88756,26.0384295,-98.3128503,Reynosa,Sin Nombre de Colonia 24,None,Tamps.,Tamaulipas,MX,88756.0,6.0,,FUZZ
