AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
AQUILES SERDÁN 68 COLIMA Y ZACATECAS COLONIA TEPEYAC,SN,TEPEYAC,63715.0,LAS VARAS,NAYARIT,MEXICO,COMPOSTELA,Nayarit,Compostela,Las Varas,Tepeyac,Aquiles Serdán,68,63715.0,"Colima y Zacatecas, Sin Número",21.17351,-105.14092,0.99,1.0,Justo Sierra Poniente,0.0,63715,21.1865472,-105.1371956,Las Varas,None,Nueva Galicia,Nay.,Nayarit,MX,63715.0,68.0,,FUZZ
HIDALGO NTE.,55,ZAMORA DE HIDALGO CENTRO,59600.0,ZAMORA DE HIDALGO,MICHOACAN,MEXICO,ZAMORA,Michoacán de Ocampo,Zamora,Zamora de Hidalgo,Zamora de Hidalgo Centro,Hidalgo Norte,55,59600.0,,19.98893,-102.2826,0.99,1.0,Miguel Hidalgo,25.0,59600,19.9875064,-102.283005,Zamora de Hidalgo,Centro,None,Mich.,Michoacán,MX,59600.0,30.0,,FUZZ
OCURRE,OCURRE,HEROICA MATAMOROS CENTRO,87300.0,MATAMOROS,TAMAULIPAS,MEXICO,MATAMOROS,Tamaulipas,Matamoros,Matamoros,Heroica Matamoros Centro,Ocurre Ocurre,,87300.0,,25.8797581,-97.5057737,0.3,0.3,Calle Doce,119.0,87300,25.8817864,-97.5098474,Heroica Matamoros,Zona Centro,None,Tamps.,Tamaulipas,MX,87300.0,119.0,,FUZZ
PORTAL DE LAS LOMAS,342,PORTAL DE JUAREZ,67266.0,CIUDAD BENITO JUAREZ,NUEVO LEON,MEXICO,JUAREZ,Nuevo León,Juárez,Ciudad Benito Juárez,Portal de Juárez,Portal de Las Lomas,342,67266.0,,25.63163,-100.10306,0.99,0.8,Portal de las Lomas,307.0,67266,25.6314083,-100.1019567,Juárez,Portal de Juarez,None,N.L.,Nuevo León,MX,67266.0,35.0,,EXACT
CAMILO FLAMAREON,609,JARAL DEL PROGRESO CENTRO,38470.0,JARAL DEL PROGRESO,GUANAJUATO,MEXICO,JARAL DEL PROGRESO,Guanajuato,Jaral del Progreso,Jaral del Progreso,Jaral del Progreso Centro,Camilo Flamareon,609,38470.0,,20.36941,-101.068,0.91,1.0,Melchor Ocampo Oriente,609.0,38470,20.3734696,-101.0598396,Jaral del Progreso,Centro,None,Gto.,Guanajuato,MX,38470.0,0.0,,FUZZ
AV. TARAHUMARAS,1491,FRANCISCO VILLA,80110.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Francisco Villa,Avenida Tarahumaras,1491,80110.0,,24.78893,-107.42183,0.97,1.0,Tarahumaras,1491.0,80110,24.7887279,-107.422016,Culiacán Rosales,Francisco Villa,Colonia Francisco Villa,Sin.,Sinaloa,MX,80110.0,0.0,,FUZZ
DEP ANDADOR 4 #MODULO 67 INT DEP 002 ENTRAR POR AV ACUEDUCTO Y MODULARES ACUEDUC,MOD 67 INT002,ACUEDUCTO DE GUADALUPE,7279.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,GUSTAVO A MADERO,Ciudad de México,Gustavo A. Madero,Ciudad de México,Acueducto de Guadalupe,Andador,4 Módulo 67,7279.0,Departamento 002 Entrar por Avenida Acueducto y Modulares Acueducto Mod 67 Interior 002,19.3534222,-99.3065215,0.5,0.3,ANDADOR 27,4.0,7279,19.5262366405,-99.1509722757,,acueducto de guadalupe,,,,,7279.0,0.0,gustavo a. madero,SUB
RODOLFO GAONA,NO. 3 PISO 12,PERIODISTA,11220.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,MIGUEL HIDALGO,Ciudad de México,Miguel Hidalgo,Ciudad de México,Periodista,Rodolfo Gaona,3,11220.0,Piso 12,19.45248,-99.21855,1.0,1.0,RODOLFO GAONA,3.0,11220,19.4523739336,-99.2187835731,,periodista,,,,,11220.0,0.0,miguel hidalgo,EXACT
"HIDALGO ORIENTE 14, #14. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: NI",14,SECCION PRIMERA,90740.0,SECCION PRIMERA,TLAXCALA,MEXICO,ZACATELCO,Tlaxcala,Zacatelco,Zacatelco,Sección Primera,Hidalgo Oriente,14,90740.0,,19.2138462,-98.2349701,0.3,0.5,Hidalgo,14.0,90740,19.2168512,-98.2383672,Zacatelco,Primera Sección,La Venta,Tlax.,Tlaxcala,MX,90740.0,0.0,,FUZZ
"AGUASCALIENTES, #611. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: HUAMA",611,PROGRESO MACUILTEPETL,91130.0,XALAPA,VERACRUZ,MEXICO,XALAPA,Veracruz de Ignacio de la Llave,Xalapa,Xalapa,Progreso Macuiltepetl,Aguascalientes,611,91130.0,,19.55101,-96.92207,1.0,0.3,Aguascalientes,617.0,91130,19.5511758,-96.922084,Xalapa-Enríquez,Progreso Macuiltepetl,None,Ver.,Veracruz,MX,91130.0,6.0,,EXACT
J. GUADALUPE AGUILERA ENTRE IGNACIO SOTO Y MANUEL RANGEL,607,GUILLERMINA,34270.0,DURANGO,DURANGO,MEXICO,DURANGO,Durango,Durango,Durango,Guillermina,J. Guadalupe Aguilera,607,34270.0,Entre Ignacio Soto y Manuel Rangel,24.02769,-104.64844,1.0,1.0,J. Guadalupe Aguilera,926.0,34270,24.0280132,-104.6455024,Durango,Guillermina,None,Dgo.,Durango,MX,34270.0,319.0,,EXACT
PRESIDENTE IGNACIO COMONFORT,91,LAZARO CARDENAS,80290.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Lázaro Cárdenas,Presidente Ignacio Comonfort,91,80290.0,,24.7677,-107.37568,1.0,1.0,Presidente Ignacio Comonfort,78.0,80290,24.7679353,-107.3754932,Culiacán Rosales,Lázaro Cárdenas,Lázaro Cárdenas,Sin.,Sinaloa,MX,80290.0,13.0,,EXACT
"PERIFÉRICO SUR 7650, #EDIF 18 INT: 201. ENTREGA EN: , PISO: , ACCESIBLE POR: , ",EDIF 18 201,GRANJAS COAPA,14330.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,TLALPAN,Ciudad de México,Tlalpan,Ciudad de México,Granjas Coapa,Periférico Sur,7650,14330.0,"Edificio 18 Int: 201, Edificio 18 201",19.2952199,-99.1055743,1.0,1.0,PERIFERICO SUR,7358.0,14330,19.2905120366,-99.1132657656,,magistral coapa,,,,,14330.0,292.0,tlalpan,FUZZ
AV INDUSTRIA MINERA 502 PARQUE INDUSTRIAL QUERETARO 76220,-,SANTA ROSA DE JAUREGUI,76220.0,SANTA ROSA DE JAUREGUI,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Santa Rosa de Jauregui,Parque Industrial Polígono Empresarial,Avenida Industria Minera,502,76220.0,Parque Industrial Queretaro,20.8312286,-100.4303942,1.0,1.0,Avenida Industria Minera,501.0,76220,20.8315796,-100.4287719,Parque Industrial Querétaro,Ampliación Industrial,None,Qro.,Querétaro,MX,76220.0,1.0,,EXACT
OAXACA,S/N,SAN ISIDRO MIRANDA,76246.0,SAN ISIDRO MIRANDA,QUERETARO,MEXICO,EL MARQUES,Querétaro,El Marqués,San Isidro Miranda,San Isidro Miranda,Oaxaca,S/N,76246.0,,20.56715,-100.32793,1.0,0.5,Santa Monica,7.0,76246,20.5850719,-100.2582475,None,None,None,Qro.,Querétaro,MX,76246.0,7.0,,FUZZ
**16 DE SEPTIEMBRE,S/N,LEON MODERNO,37480.0,LEON,GUANAJUATO,MEXICO,LEON,Guanajuato,León,León,León Moderno,16 De Septiembre,S/N,37480.0,,21.1076778,-101.6655615,0.3,0.5,Puerta de Abraham,120.0,37480,21.0999617,-101.6679927,León,Prados Verdes Sur,None,Gto.,Guanajuato,MX,37480.0,120.0,,FUZZ
BARDOMIANO FELIX SN,SN,BACHIGUALATITO,80393.0,BACHIGUALATITO,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Bachigualatito,Bardomiano Félix,SN,80393.0,SN,24.7136111,-107.4699999,0.3,0.3,Unión y Movimiento,0.0,80393,24.7198974,-107.4527046,None,None,None,Sin.,Sinaloa,MX,80393.0,0.0,,FUZZ
HIDALGO 26A,SN,VIVERO DE FRESNOS,76803.0,SAN JUAN DEL RIO,QUERETARO,MEXICO,SAN JUAN DEL RIO,Querétaro,San Juan del Río,San Juan del Río,Vivero de Fresnos,Hidalgo,26A SN,76803.0,,20.4087118,-99.9955007,1.0,1.0,Hidalgo,122.0,76803,20.4183649,-99.9989285,San Juan del Río,San Isidro,None,Qro.,Querétaro,MX,76803.0,96.0,,EXACT
BARCELONA,1409,CADEREYTA JIMENEZ CENTRO,67480.0,CADEREYTA,NUEVO LEON,MEXICO,CADEREYTA JIMENEZ,Nuevo León,Cadereyta Jiménez,Cadereyta Jiménez,Cadereyta Jiménez Centro,Barcelona,1409,67480.0,,25.59636,-100.01764,0.95,1.0,Barcelona,1327.0,67480,25.5961115,-100.0170672,Cadereyta Jiménez,Sin Nombre de Colonia 1,None,N.L.,Nuevo León,MX,67480.0,82.0,,EXACT
AV OAXANTUN MANZANA,12 LOTE 1 S/N,SUPERMANZANA 35,77505.0,CANCUN,QUINTANA ROO,MEXICO,BENITO JUAREZ,Quintana Roo,Benito Juárez,Cancún,Supermanzana 35,Avenida Oaxantun,Manzana 12 Lote 1 S/N,77505.0,,21.156258,-86.8323881,0.3,0.3,Avenida Xcaret,0.0,77505,21.1541099,-86.8377789,Cancún,36,None,Q.R.,Quintana Roo,MX,77505.0,12.0,,FUZZ
"CIRCUITO GRAN VIA, #341. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: BO",341,VILLA DE POZOS,78421.0,VILLA DE POZOS,SAN LUIS POTOSI,MEXICO,VILLA DE POZOS,San Luis Potosí,Villa de Pozos,Villa de Pozos,Alquerías de Pozos,Circuito Gran Vía,341,78421.0,341,22.0850957,-100.8655737,0.8,0.3,Circuito Doce,114.0,78421,22.1188313,-100.8408054,Laguna de Santa Rita,None,None,S.L.P.,San Luis Potosí,MX,78421.0,227.0,,FUZZ
BOULEVARD INSTITUTO TECNOLÓGICO (CARRETERA TRANSÍSTMICA),#24 INT A24,INSURGENTES NORTE,96710.0,MINATITLAN,VERACRUZ,MEXICO,MINATITLAN,Veracruz de Ignacio de la Llave,Minatitlán,Minatitlán,Insurgentes Norte,Boulevard Instituto Tecnológico (Carretera Transístmica),24,96710.0,Interior A24,18.0025549,-94.5572484,0.8,0.8,Carretera Transístmica,26.0,96710,18.0018506,-94.5685911,Minatitlán,Rosalinda,None,Ver.,Veracruz,MX,96710.0,2.0,,FUZZ
AV. INTERNACIONAL # 2002 LOCALES 39 Y 40,#2002,NUEVA SANTA LUCIA,71244.0,SANTA LUCIA DEL CAMINO,OAXACA,MEXICO,SANTA LUCIA DEL CAMINO,Oaxaca,Santa Lucía del Camino,Santa Lucía del Camino,Nueva Santa Lucía,Avenida Internacional,2002,71244.0,Locales 39 y 40,17.06821,-96.69453,0.91,0.5,Avenida Lázaro Cárdenas,1602.0,71244,17.0645911,-96.6961393,Santa Lucía del Camino,El Bosque Sur,None,Oax.,Oaxaca,MX,71244.0,400.0,,FUZZ
"DON PEDRO VAZQUEZ CISNEROS, 349",35,ALVIENTO RESIDENCIAL,45200.0,AL VIENTO RESIDENCIAL I,JALISCO,MEXICO,ZAPOPAN,Jalisco,Zapopan,Zapopan,Alviento Residencial,Don Pedro Vazquez Cisneros,349 35,45200.0,Al Viento Residencial I,20.7889361,-103.4833326,1.0,1.0,Don Pedro Vázquez Cisneros,349.0,45200,20.7889361,-103.4833326,Tesistán,None,None,Jal.,Jalisco,MX,45200.0,0.0,,FUZZ
CALLE 7 #780 ENTRES CALLES 30 Y 40 CASA AMARILLA MOSTAZA,NO 780,MIGUEL HIDALGO,25096.0,SALTILLO,COAHUILA,MEXICO,SALTILLO,Coahuila de Zaragoza,Saltillo,Saltillo,Miguel Hidalgo,Calle 7,780,25096.0,"Entre Calles 30 y 40, Casa Amarilla Mostaza",25.38736,-100.98523,1.0,1.0,Calle 7,770.0,25096,25.3881219,-100.9860093,Saltillo,Miguel Hidalgo,None,Coah.,Coahuila de Zaragoza,MX,25096.0,10.0,,EXACT
AV 2 ORIENTE,1702,MAQUINA DE VEGA,94103.0,HUATUSCO DE CHICUELLAR,VERACRUZ,MEXICO,HUATUSCO,Veracruz de Ignacio de la Llave,Huatusco,Huatusco de Chicuellar,Maquina de Vega,Avenida 2 Oriente,1702,94103.0,,19.14983,-96.95592,0.98,1.0,,,,,,,,,,,,,,,
PRIV. MAGISTETERIAL ESQ. CUAUHTEMOC,SN,CERRO CATEDRAL,23600.0,CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,MEXICO,COMONDU,Baja California Sur,Comondú,Ciudad Constitución,Cerro Catedral,Privada Magisterial Esquina Cuauhtémoc,SN,23600.0,,25.044283,-111.6691746,0.5,0.5,General Emiliano Zapata,23.0,23600,25.0287882,-111.6686597,Ciudad Constitución,Centro,None,B.C.S.,Baja California Sur,MX,23600.0,23.0,,FUZZ
NUEVA VISTA 123,.,CENTRO SUR,76090.0,QUERETARO,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Querétaro,Centro Sur,Nueva Vista,123,76090.0,,20.5705002,-100.3582107,0.3,0.3,Isla Cerdeña,102.0,76090,20.5702904,-100.3798183,Santiago de Querétaro,Loma Linda,None,Qro.,Querétaro,MX,76090.0,21.0,,FUZZ
CALLE 48,119D,ALAMOS,3400.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,BENITO JUAREZ,Ciudad de México,Benito Juárez,Ciudad de México,Álamos,Calle 48,119D,3400.0,,19.399121,-99.1414643,0.3,0.3,CASTILLA,117.0,3400,19.3980684561,-99.1428173737,,alamos,,,,,3400.0,2.0,benito juarez,FUZZ
MANUEL AVILA CAMACHO,119,OJO DE AGUA,63023.0,TEPIC,NAYARIT,MEXICO,TEPIC,Nayarit,Tepic,Tepic,Ojo de Agua,Manuel Ávila Camacho,119,63023.0,,21.53378,-104.90226,1.0,0.91,Manuel Ávila Camacho,63.0,63023,21.5319166,-104.90307,Tepic,Ojo de Agua,None,Nay.,Nayarit,MX,63023.0,56.0,,EXACT
OCURRE,SN,ATLAMAYA,1760.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,ALVARO OBREGON,Ciudad de México,Álvaro Obregón,Ciudad de México,Atlamaya,Ocurre,SN,1760.0,,19.3481367,-99.2030585,0.3,0.3,LAS FLORES,0.0,1760,19.3491479824,-99.2058957656,,flor de maria,,,,,1760.0,0.0,alvaro obregon,FUZZ
"4 DE OCTUBRE, #104. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: 5 DE FE",104,MORELOS,68103.0,OAXACA,OAXACA,MEXICO,OAXACA DE JUAREZ,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,Morelos,4 de Octubre,104,68103.0,,17.0597,-96.7105,1.0,1.0,Calle de Nuño del Mercado,504.0,68103,17.0552394,-96.7306046,Oaxaca de Juárez,Articulo 123 Poniente,None,Oax.,Oaxaca,MX,68103.0,400.0,,FUZZ
FRAY ANTONIO DE SEGOVIA,328,MAGAÑA,44800.0,GUADALAJARA,JALISCO,MEXICO,GUADALAJARA,Jalisco,Guadalajara,Guadalajara,Magaña,Fray Antonio de Segovia,328,44800.0,,20.65949,-103.31631,1.0,1.0,Fray Antonio de Segovia,314.0,44800,20.6599125,-103.3164251,Guadalajara,Magaña,Colonia La Loma,Jal.,Jalisco,MX,44800.0,14.0,,EXACT
CALLE JUSTO SIERRA,74,SAN JOSE,59940.0,COTIJA DE LA PAZ,MICHOACAN,MEXICO,COTIJA,Michoacán de Ocampo,Cotija,Cotija de la Paz,San José,Calle Justo Sierra,74,59940.0,,19.80759,-102.69867,0.95,0.8,Calle Madero,95.0,59940,19.8101648,-102.7022059,Cotija de la Paz,Centro,None,Mich.,Michoacán,MX,59940.0,21.0,,FUZZ
BOSQUES DE VIENA,3,BOSQUES DEL LAGO,54766.0,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,MEXICO,CUAUTITLAN IZCALLI,México,Cuautitlán Izcalli,Cuautitlán Izcalli,Bosques del Lago,Bosques De Viena,3,54766.0,,19.60715,-99.25034,0.99,0.5,Bosques de Viena,4.0,54766,19.6097259,-99.2457994,Cuautitlán Izcalli,Bosques del Lago,None,Méx.,Estado de México,MX,54766.0,1.0,,EXACT
EZEQUIEL MONTES,28,CENTRO,76000.0,QUERETARO,QUERETARO,MEXICO,QUERETARO,Querétaro,Querétaro,Querétaro,Centro,Ezequiel Montes,28,76000.0,,20.58874,-100.39726,0.99,1.0,Calle Ezequiel Montes,29.0,76000,20.5921764,-100.3983457,Santiago de Querétaro,Centro,None,Qro.,Querétaro,MX,76000.0,1.0,,SUB
AV IGNACIO MORONES PRIETO,810,LA HUERTA,67144.0,GUADALUPE,NUEVO LEON,MEXICO,GUADALUPE,Nuevo León,Guadalupe,Guadalupe,La Huerta,Avenida Ignacio Morones Prieto,810,67144.0,,25.68664,-100.24736,0.91,0.5,General Ignacio Zaragoza,625.0,67144,25.6714777,-100.2581285,Guadalupe,Sin Nombre de Colonia 33,None,N.L.,Nuevo León,MX,67144.0,185.0,,FUZZ
AVENIDA DOCTOR JOSE MARIA VERTIZ,184 - A602,DOCTORES,6720.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,CUAUHTEMOC,Ciudad de México,Cuauhtémoc,Ciudad de México,Doctores,Avenida Doctor José María Vértiz,184,6720.0,A602,19.41839,-99.14754,1.0,1.0,AVENIDA DOCTOR JOSE MARIA VERTIZ,118.0,6720,19.42162997,-99.14681607,,doctores,,,,,6720.0,66.0,cuauhtemoc,FUZZ
"CUAUHTEMOC, #MANZANA 2 INT: E. 1A. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE ",MANZANA 2 E. 1A,LOMAS DE CORTES,62240.0,CUERNAVACA,MORELOS,MEXICO,CUERNAVACA,Morelos,Cuernavaca,Cuernavaca,Lomas de Cortés,Cuauhtémoc,Manzana 2,62240.0,"Interior E 1A, Manzana 2 E 1A",18.95531,-99.22671,0.95,0.5,Cuauhtémoc,93.0,62240,18.9561088,-99.2268428,Cuernavaca,Lomas de Cortes,None,Mor.,Morelos,MX,62240.0,91.0,,EXACT
PRIVADA NICOLAS BRAVO NO.55,0,CIUDAD JUDICIAL,72820.0,SAN ANDRES CHOLULA,PUEBLA,MEXICO,SAN ANDRES CHOLULA,Puebla,San Andrés Cholula,San Andrés Cholula,Ciudad Judicial,Privada Nicolás Bravo,55,72820.0,,19.0255807,-98.2739684,0.8,0.8,Privada Nicolas Bravo,0.0,72820,19.0235855,-98.2752153,Heroica Puebla de Zaragoza,San Bernardino Tlaxcalancingo,None,Pue.,Puebla,MX,72820.0,55.0,,FUZZ
"SUR 20, #174 INT: 306A. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: , R",174 306A,AGRICOLA ORIENTAL,8500.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,IZTACALCO,Ciudad de México,Iztacalco,Ciudad de México,Agrícola Oriental,Sur 20,174,8500.0,"Interior 306A, 174 306A",19.39283,-99.07812,1.0,1.0,AVENIDA SUR 20,174.0,8500,19.3931583369,-99.0781254013,,agricola oriental,,,,,8500.0,0.0,iztacalco,SUB
RAMON PONCE DE LEON,68 PTE,CHAPULTEPEC,80040.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Chapultepec,Ramón Ponce de León,68 Pte,80040.0,,24.81744,-107.39212,0.94,0.8,Calle Doctor Ramón Ponce de León,58.0,80040,24.8176305,-107.3911715,Culiacán Rosales,Chapultepec,Chapultepec,Sin.,Sinaloa,MX,80040.0,10.0,,SUB
NUEVA COSMOPOLIS 128 RESIDENCIAL APODACA  PRIVADA APODACA CENTRO,--,CIUDAD APODACA CENTRO,66600.0,APODACA,NUEVO LEON,MEXICO,APODACA,Nuevo León,Apodaca,Apodaca,Ciudad Apodaca Centro,Nueva Cosmópolis,128,66600.0,"Residencial Apodaca, Privada Apodaca Centro",25.7928386,-100.1801386,1.0,1.0,Nueva Cosmopolis,130.0,66600,25.7928536,-100.1801577,Ciudad Apodaca,None,Cabecera Municipal (Apodaca),N.L.,Nuevo León,MX,66600.0,2.0,,FUZZ
JUPITER,26,ARCOS DE LA HACIENDA,54730.0,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,MEXICO,CUAUTITLAN IZCALLI,México,Cuautitlán Izcalli,Cuautitlán Izcalli,Arcos de la Hacienda,Jupiter,26,54730.0,,19.66804,-99.20682,0.99,0.8,Júpiter,26.0,54730,19.6675199,-99.2067452,Cuautitlán Izcalli,Arcos de la Hacienda,None,Méx.,Estado de México,MX,54730.0,0.0,,FUZZ
VIOLETA,#20,SANTA ROSA DE LIMA,54740.0,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,MEXICO,CUAUTITLAN IZCALLI,México,Cuautitlán Izcalli,Cuautitlán Izcalli,Santa Rosa de Lima,Violeta,20,54740.0,,19.66296,-99.22539,0.91,0.5,Violeta,26.0,54740,19.6576781,-99.2201394,Cuautitlán Izcalli,Santa Rosa de Lima,None,Méx.,Estado de México,MX,54740.0,6.0,,EXACT
VALLE DNIEPER,139,VALLE DE ARAGON,57100.0,CIUDAD NEZAHUALCOYOTL,ESTADO DE MEXICO,MEXICO,NEZAHUALCOYOTL,México,Nezahualcóyotl,Ciudad Nezahualcóyotl,Valle de Aragón,Valle Dnieper,139,57100.0,,19.49096,-99.05947,1.0,1.0,Valle de Dnieper,139.0,57100,19.4910508,-99.0593753,Nezahualcóyotl,Valle de Aragon 1ra Sección,None,Méx.,Estado de México,MX,57100.0,0.0,,FUZZ
MEMBRILLO,148,VISTA HERMOSA,76826.0,VISTA HERMOSA,QUERETARO,MEXICO,SAN JUAN DEL RIO,Querétaro,San Juan del Río,San Juan del Río,Vista Hermosa,Membrillo,148,76826.0,,20.36972,-100.01111,1.0,1.0,Membrillo,148.0,76826,20.3696921,-100.0110369,San Juan del Río,Vista Hermosa,None,Qro.,Querétaro,MX,76826.0,0.0,,EXACT
PRIVADA DE LOS ALCAZARES,9,LA GIRALDA,91194.0,XALAPA,VERACRUZ,MEXICO,XALAPA,Veracruz de Ignacio de la Llave,Xalapa,Xalapa,La Giralda,Privada de los Alcázares,9,91194.0,,19.51161,-96.86232,0.99,0.99,Privada del Bosque,11.0,91194,19.5110184,-96.8641289,Xalapa-Enríquez,El Olmo,None,Ver.,Veracruz,MX,91194.0,2.0,,FUZZ
PORFIRIO DIAZ # 10 COL. CENTRO,# 10,HEROICA CIUDAD DE HUAJUAPAN DE LEON CENTRO,69000.0,HEROICA CIUDAD DE HUAJUAPAN DE LEON,OAXACA,MEXICO,HEROICA CIUDAD DE HUAJUAPAN DE LEON,Oaxaca,Heroica Ciudad de Huajuapan de León,Heroica Ciudad de Huajuapan de León,Heroica Ciudad de Huajuapan de León Centro,Porfirio Díaz,10,69000.0,,17.8058341,-97.7750132,1.0,1.0,Calle Porfirio Díaz,10.0,69000,17.8058341,-97.7750132,Centro,Centro,None,Oax.,Oaxaca,MX,69000.0,0.0,,SUB
OCURRE,SN,CIVAC,62578.0,CIVAC,MORELOS,MEXICO,JIUTEPEC,Morelos,Jiutepec,Jiutepec,CIVAC,Ocurre,SN,62578.0,CIVAC,18.9117408,-99.1719095,0.3,0.3,Eje Norte Sur,2.0,62578,18.911922,-99.178532,Jiutepec,Civac,None,Mor.,Morelos,MX,62578.0,2.0,,FUZZ
CALLE LANIZ LOTE 69 MANZANA 4,SN,LOMAS DE SAN PEDRO,71985.0,PUERTO ESCONDIDO,OAXACA,MEXICO,SAN PEDRO MIXTEPEC -DTO. 22 -,Oaxaca,San Pedro Mixtepec -Dto. 22 -,Puerto Escondido,Lomas de San Pedro,Calle Laniz,Lote 69 Manzana 4 SN,71985.0,,15.8890754,-97.0794942,0.8,0.8,Calle Granadillo,21.0,71985,15.8819828,-97.0957149,Puerto Escondido,La Parota,None,Oax.,Oaxaca,MX,71985.0,48.0,,FUZZ
CALLE COVINA,3547,LOS ANGELES,80014.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Los Ángeles,Calle Covina,3547,80014.0,,24.84749,-107.36216,0.9,1.0,Calle Covina,3438.0,80014,24.8461046,-107.3625539,Culiacán Rosales,None,None,Sin.,Sinaloa,MX,80014.0,109.0,,EXACT
AV. AGUASCALIENTES PTE.,1354,CURTIDORES,20040.0,AGUASCALIENTES,AGUASCALIENTES,MEXICO,AGUASCALIENTES,Aguascalientes,Aguascalientes,Aguascalientes,Curtidores,Avenida Aguascalientes Poniente,1354,20040.0,,21.88407,-102.31791,1.0,0.3,Avenida Aguascalientes Poniente,1406.0,20040,21.8853117,-102.3176439,Aguascalientes,Curtidores,None,Ags.,Aguascalientes,MX,20040.0,52.0,,EXACT
"CLEMENTE OROZCO, #411. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: DIEG",411,PRADOS VERDES,37480.0,LEON,GUANAJUATO,MEXICO,LEON,Guanajuato,León,León,Prados Verdes,Clemente Orozco,411,37480.0,,21.1031,-101.67098,1.0,0.93,Almendro,104.0,37480,21.1030661,-101.6657738,León,Las Arboledas,None,Gto.,Guanajuato,MX,37480.0,307.0,,FUZZ
AV. ALTAVISTA PONIENTE,#303 INT.48-A,ALTAVISTA RESIDENCIAL,45133.0,ZAPOPAN,JALISCO,MEXICO,ZAPOPAN,Jalisco,Zapopan,Zapopan,Altavista Residencial,Avenida Altavista Poniente,303,45133.0,Interior 48-A,20.7671309,-103.4066034,1.0,1.0,Altavista Poniente,303.0,45133,20.7671286,-103.4065979,Zapopan,None,None,Jal.,Jalisco,MX,45133.0,0.0,,FUZZ
SINALOA ,215 INT2,ROMA NORTE,6700.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,CUAUHTEMOC,Ciudad de México,Cuauhtémoc,Ciudad de México,Roma Norte,Sinaloa,215,6700.0,Interior 2,19.41947,-99.17345,1.0,1.0,SINALOA,215.0,6700,19.419618,-99.17363509,,roma norte,,,,,6700.0,0.0,cuauhtemoc,EXACT
"ZEMPOAL, #212. ENTREGA EN: , PISO: , ACCESIBLE POR: , ENTRE CALLES: ULTIMA CALLE",212,PALMA REAL,86143.0,VILLAHERMOSA,TABASCO,MEXICO,CENTRO,Tabasco,Centro,Villahermosa,Palma Real,Zempoal,212,86143.0,,17.9582,-92.97298,0.99,0.3,Pedro Moreno,25.0,86143,17.9750431,-92.9785314,Villahermosa,Invitab Miguel Hidalgo,None,Tab.,Tabasco,MX,86143.0,187.0,,FUZZ
AMATISTA  67,SN,VALLE DIAMANTE,76903.0,EL PUEBLITO,QUERETARO,MEXICO,CORREGIDORA,Querétaro,Corregidora,El Pueblito,Valle Diamante,Amatista,67 SN,76903.0,,20.5516,-100.40144,0.99,1.0,Amatista,80.0,76903,20.5399924,-100.3903346,Candiles,None,None,Qro.,Querétaro,MX,76903.0,13.0,,EXACT
